.1ord,ord_regex,.1definition,.1subgrupp,huvudgrupp
databasmigrering,,databasdrift,databas,
databasmiljöer,,databas,databas,
databasmodellering,,databasdrift,databas,
databasmodulering,,databasdrift,databas,
databasmotor,,databas,databas,
databasoptimering,,databasdrift,databas,
databasschema,,databas,databas,
databasstruktur,,databas,databas,
databassystem,,databas,databas,
databassökningar,,databas,databas,
databastabeller,,databas,databas,
databasteknik,,databas,databas,
databastjänster,,databas,databas,
databasuppbyggnad,,databas,databas,
databasvana,,databas,databas,
databasverktyg,,databas,databas,
databearbetning,,databearbetning,databearbetning,
databehandling,,databehandling,databehandling,
datadistribution,,datadistribution,data-relaterat,
datadokumentation,,datadokumentation,data-relaterat,
datafrågor,,datafrågor,data-relaterat,
dataförsörjning,,dataförsörjning,data-relaterat,
dataförädling,,dataförädling,data-relaterat,
dataguard,,data guard,data guard,
datahantering,,datahantering,data-relaterat,
datainmatning,,datainmatning,data-relaterat,
datainriktning,,datainriktning,data-relaterat,
datainsamling,,datainsamling,data-relaterat,
dataintegration,,dataintegration,data-relaterat,
datakommunikation,,datakommunikation,data-relaterat,
datakommunikationsområdet,,datakommunikationsområdet,data-relaterat,
datakommunikationssystem,,datakommunikationssystem,data-relaterat,
datakonvertering,,datakonvertering,data-relaterat,
datalager,,datalager,data-relaterat,
datalagerlösningar,,datalagerlösningar,data-relaterat,
datalagring,,datalagring,data-relaterat,
datalagringslösningar,,datalagringslösningar,data-relaterat,
datalogi,,,,
datamaterial,,,,
datamigrering,,,,
datamodellering,,,,
dataskydd,,,,
dataskyddsarbete,,,,
dataskyddsfrågor,,,,
dataskyddslagstiftning,,,,
dataspelsföretag,,,,
datastruktur,,,,
datasystem,,,,
datasäkerhet,,it-säkerhet,it-säkerhet,
datateknik,,,,
datateknisk utbildning,,,,
datatjänster,,,,
datautbildning,,,,
datautrustning,,,,
datauttag,,,,
datautvinning,,,,
datavalidering,,,,
datavana,,,,
datavetenskap,,,,
datavetenskaplig utbildning,,,,
datavisualisering,,,,
datawarehouse,,datawarehouse,datawarehouse,
datawarehousing,,datawarehouse,datawarehouse,
dataöverföring,,,,
datomic,,,,
datorarkitektur,,,,
datordrift,,,,
datorgrafik,,,,
datorhårdvara,,,,
datorkommunikation,,,,
datorkunskaper,,,,
datorlingvistik,,,,
datornätverk,,,,
