[\s_-](adobe\ golive)[\.\s_-],adobe golive,adobe,
[\s_-](adobe\ illustrator)[\.\s_-],adobe illustrator,adobe,
[\s_-](adobe\ indesign)[\.\s_-],adobe indesign,adobe,
[\s_-](adobe\ photoshop\|photoshop)[\.\s_-],adobe photoshop,adobe,
[\s_-](adobe\ xd)[\.\s_-],adobe xd,adobe,
[\s_-](adp)[\.\s_-],automatic data processing,hr software,
[\s_-](agda)[\.\s_-],agda,functional programming language,
[\s_-](agil\ metodik\|agil\ systemutveckling\|agil\ utvecklingsmetodik\|agila\ arbetsmetoder\|agila\ projektmetoder\|agila\ utvecklingsmetoder\|agila\ utvecklingsprocesser\|agile\|agilt\ arbetssätt)[\.\s_-],agile,workflow,generellt
[\s_-](ags\ script)[\.\s_-],adventure game studio,game development,game development
[\s_-](aix)[\.\s_-],advanced interactive executive,unix operating system,generellt
[\s_-](ajax)[\.\s_-],ajax,ajax,generellt
[\s_-](akeneo)[\.\s_-],akeneo,product information management,generellt
[\s_-](alfa\ testning)[\.\s_-],alfa testning,testning,generellt
[\s_-](algebra)[\.\s_-],algebra,generellt,generellt
[\s_-](algoritm)[\.\s_-],algoritm,generellt,generellt
[\s_-](altium\|altium\ designer)[\.\s_-],altium,altium,
[\s_-](amazon\|amazon\ web\ services)[\.\s_-],amazon web services,amazon web services,molntjänster
[\s_-](amazon\ s3)[\.\s_-],amazon web services s3,amazon web services,molntjänster
[\s_-](Amazon\ VPC)[\.\s_-],amazon web services vpc,amazon web services,molntjänster
[\s_-](android\|android\ sdk\|android\ studio)[\.\s_-],android,android,apputveckling
[\s_-](angular__cli\|angular\.js\|angular2\|angular4\|angularjs)[\.\s_-],angular,angular,apputveckling
[\s_-](animation\|animering)[\.\s_-],animation,animation,apputveckling
[\s_-](ansibel\|ansible)[\.\s_-],ansible,Ansible,molntjänster
[\s_-](antivirus\|antiviruslösningar\|antivirusprogram\|av\-installation\|av\-produkter\|av\-teknik\|av\-utrustning)[\.\s_-],antivirus,antivirus,generellt
[\s_-](antlr)[\.\s_-],antlr,parser generator,
[\s_-](användaradministration)[\.\s_-],användaradministration,användaradministration,
[\s_-](användardokumentation\|användarmanualer\|användarutbildning)[\.\s_-],användardokumentation,dokumentation,
[\s_-](användargränssnittsutveckling)[\.\s_-],användargränssnittsutveckling,design,design
[\s_-](användarinteraktion)[\.\s_-],användarinteraktion,design,design
[\s_-](användarsupport)[\.\s_-],användarsupport,support,
[\s_-](användartester)[\.\s_-],användartester,testning,generellt
[\s_-](användbarhetstestning)[\.\s_-],användbarhetstestning,testning,generellt
[\s_-](användningstester)[\.\s_-],användningstester,testning,generellt
[\s_-](apache\ camel)[\.\s_-],apache camel,Apache,
[\s_-](apache\ cxf)[\.\s_-],apache cxf,Apache,
[\s_-](apache\ http)[\.\s_-],apache http,Apache,
[\s_-](apache\ kafka\|kafka)[\.\s_-],apache kafka,Apache,
[\s_-](apache\ lucene)[\.\s_-],apache lucene,Apache,
[\s_-](apache\ maven)[\.\s_-],apache maven,Apache,
[\s_-](apache\ solr)[\.\s_-],apache solr,Apache,
[\s_-](apache\ spark)[\.\s_-],apache spark,Apache,
[\s_-](apache\ struts)[\.\s_-],apache struts,Apache,
[\s_-](apache\ tomcat)[\.\s_-],apache tomcat,Apache,
[\s_-](apache\ wicket)[\.\s_-],apache wicket,Apache,
[\s_-](Apache\ ZooKeeper\|zookeeper)[\.\s_-],Apache zookeeper,open source server,
[\s_-](apacheconf)[\.\s_-],apacheconf,Apache,
[\s_-](apex)[\.\s_-],apex,saas development platform,
[\s_-](api\|api\ blueprint\|apis\|web\ api)[\.\s_-],api,api,
[\s_-](api\-testning)[\.\s_-],api testning,testning,
